2025-06-18 00:52:56,405 | INFO     | __main__ | Configuração de logging aplicada
2025-06-18 00:52:56,406 | INFO     | __main__ | FastAPI app instanciada
2025-06-18 00:52:56,406 | INFO     | __main__ | Criando tabelas no banco de dados
2025-06-18 00:52:56,407 | INFO     | __main__ | Registrando rotas de usuário
2025-06-18 00:52:56,410 | INFO     | __main__ | Registrando rotas de tarefa
2025-06-18 00:52:56,413 | INFO     | __main__ | Registrando rotas de autenticação
2025-06-18 00:52:56,414 | INFO     | __main__ | Registrando rotas de comentários
2025-06-18 00:52:56,420 | INFO     | __main__ | Iniciando servidor Uvicorn
2025-06-18 00:52:57,112 | INFO     | __mp_main__ | Configuração de logging aplicada
2025-06-18 00:52:57,112 | INFO     | __mp_main__ | FastAPI app instanciada
2025-06-18 00:52:57,122 | INFO     | __mp_main__ | Criando tabelas no banco de dados
2025-06-18 00:52:57,123 | INFO     | __mp_main__ | Registrando rotas de usuário
2025-06-18 00:52:57,125 | INFO     | __mp_main__ | Registrando rotas de tarefa
2025-06-18 00:52:57,129 | INFO     | __mp_main__ | Registrando rotas de autenticação
2025-06-18 00:52:57,130 | INFO     | __mp_main__ | Registrando rotas de comentários
2025-06-18 00:52:57,168 | INFO     | src.main | Configuração de logging aplicada
2025-06-18 00:52:57,168 | INFO     | src.main | FastAPI app instanciada
2025-06-18 00:52:57,168 | INFO     | src.main | Criando tabelas no banco de dados
2025-06-18 00:52:57,169 | INFO     | src.main | Registrando rotas de usuário
2025-06-18 00:52:57,171 | INFO     | src.main | Registrando rotas de tarefa
2025-06-18 00:52:57,174 | INFO     | src.main | Registrando rotas de autenticação
2025-06-18 00:52:57,175 | INFO     | src.main | Registrando rotas de comentários
2025-06-18 00:53:12,355 | INFO     | __main__ | Configuração de logging aplicada
2025-06-18 00:53:12,356 | INFO     | __main__ | FastAPI app instanciada
2025-06-18 00:53:12,356 | INFO     | __main__ | Criando tabelas no banco de dados
2025-06-18 00:53:12,358 | INFO     | __main__ | Registrando rotas de usuário
2025-06-18 00:53:12,360 | INFO     | __main__ | Registrando rotas de tarefa
2025-06-18 00:53:12,364 | INFO     | __main__ | Registrando rotas de autenticação
2025-06-18 00:53:12,365 | INFO     | __main__ | Registrando rotas de comentários
2025-06-18 00:53:12,371 | INFO     | __main__ | Iniciando servidor Uvicorn
2025-06-18 00:53:13,071 | INFO     | __mp_main__ | Configuração de logging aplicada
2025-06-18 00:53:13,072 | INFO     | __mp_main__ | FastAPI app instanciada
2025-06-18 00:53:13,072 | INFO     | __mp_main__ | Criando tabelas no banco de dados
2025-06-18 00:53:13,073 | INFO     | __mp_main__ | Registrando rotas de usuário
2025-06-18 00:53:13,076 | INFO     | __mp_main__ | Registrando rotas de tarefa
2025-06-18 00:53:13,079 | INFO     | __mp_main__ | Registrando rotas de autenticação
2025-06-18 00:53:13,081 | INFO     | __mp_main__ | Registrando rotas de comentários
2025-06-18 00:53:13,119 | INFO     | src.main | Configuração de logging aplicada
2025-06-18 00:53:13,119 | INFO     | src.main | FastAPI app instanciada
2025-06-18 00:53:13,119 | INFO     | src.main | Criando tabelas no banco de dados
2025-06-18 00:53:13,120 | INFO     | src.main | Registrando rotas de usuário
2025-06-18 00:53:13,122 | INFO     | src.main | Registrando rotas de tarefa
2025-06-18 00:53:13,125 | INFO     | src.main | Registrando rotas de autenticação
2025-06-18 00:53:13,126 | INFO     | src.main | Registrando rotas de comentários
